feature_set,model,mae,rmse,mape,r2
capacity_only,RandomForest,0.003516485716186369,0.0041151245066717405,0.3776716742698795,0.96582802548046
capacity_only,LinearRegression,0.0032793361083619365,0.004153236507127613,0.34962041545827,0.9636435348874465
capacity_only,Ridge,0.0033129726452962517,0.004176416094773963,0.3535933126915749,0.9631076753717908
capacity_only,GradientBoosting,0.003717905219181361,0.00430925630511438,0.3988844018220678,0.9621208979398171
capacity_with_delta,LinearRegression,0.0032744980592197426,0.003959445855669107,0.34974161931947756,0.9658779005280337
capacity_with_delta,Ridge,0.003342575609356475,0.003983632810227456,0.3573714099231453,0.9652282045454608
capacity_with_delta,RandomForest,0.003448611640377883,0.004012148495929786,0.3702262261193068,0.9665938814007555
capacity_with_delta,GradientBoosting,0.0035747275956170446,0.004301288660142174,0.3834081771883299,0.961114143529063
persistence,Persistence,0.008046708332636952,0.009812958186710538,0.8519739378249543,0.8185904096406887
process_only,GradientBoosting,0.005855432209760837,0.006776424196008453,0.6353289130298264,0.8958931619182601
process_only,RandomForest,0.0069580079208024755,0.007821589015417437,0.7526456280747205,0.8516871876870941
process_only,Ridge,0.008503702341387745,0.00946072946508171,0.9184158740917788,0.7976230808922732
process_only,LinearRegression,0.016971615916741286,0.01926975911898057,1.8429901734626573,-0.032339565686776726
process_plus_resistance,GradientBoosting,0.005978408065232932,0.006948601638500041,0.6478843742244623,0.8852367207136288
process_plus_resistance,RandomForest,0.006907993444752493,0.007758769922869095,0.7469207581074139,0.8492120793458259
process_plus_resistance,Ridge,0.009006489082912836,0.010227949096683623,0.9717682190210785,0.7527769170715667
process_plus_resistance,LinearRegression,0.014807821811533034,0.01719516087024123,1.6080279233117316,0.1959037950207646
soh_only,RandomForest,0.0023054504210872043,0.0026895114064035123,0.24783409380079927,0.986082808483487
soh_only,GradientBoosting,0.002623402103458177,0.0029881279815804733,0.28210259667780346,0.9829157244240613
soh_only,LinearRegression,0.0027764851494532523,0.0035829629254336658,0.2954762705395499,0.9743680023533033
soh_only,Ridge,0.002849419980053225,0.0036244946616830493,0.30365296848095685,0.9738260551644448
soh_with_delta,RandomForest,0.0023244353710547747,0.0026980628923720562,0.24971453177063455,0.98556280489053
soh_with_delta,GradientBoosting,0.0024202624041787814,0.0027876140246023075,0.2603330143173956,0.9848041051409621
soh_with_delta,LinearRegression,0.0027295259367990515,0.0033719421226247174,0.29178425130545854,0.9768568727431202
soh_with_delta,Ridge,0.002780319318589308,0.0034189019107881365,0.2976162592374725,0.9762060742553104
state_aware_full,GradientBoosting,0.0023203181582149737,0.002688890807455937,0.2491287083047884,0.9852805989736583
state_aware_full,LinearRegression,0.0025857543226210197,0.003135990425502694,0.27958628326030505,0.9816090570999151
state_aware_full,RandomForest,0.002786463522043504,0.003273488269875311,0.2985517961970068,0.9764543453507354
state_aware_full,Ridge,0.002855254129944147,0.0034171691042064623,0.30677127293029044,0.9738611805414402
state_only,RandomForest,0.002683184233907235,0.003130996429595072,0.2879334237860588,0.9804230105294657
state_only,GradientBoosting,0.0027108404853858504,0.0032109373760996866,0.29096542232924216,0.9795094857239356
state_only,Ridge,0.002938847377140221,0.0036033236011831066,0.31425410901065925,0.9729720836090756
state_only,LinearRegression,0.0030472142525384827,0.003656060159383205,0.3261161647847944,0.9729398425794864
