mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.008727926157120897,0.009761629546293117,0.9343690144374117,0.809876193386885,LinearRegression,A,60,12
0.0038498240193901765,0.004975583083943921,0.4156503923924267,0.9506053602906125,Ridge,A,60,12
0.0028777167468935216,0.003548942784363452,0.3106384780377708,0.974870152549259,RandomForest,A,60,12
0.0018182433053082574,0.002296105777956656,0.1948637346618549,0.9894809713102263,GradientBoosting,A,60,12
0.040235639332120925,0.046884498657456725,4.411849525956421,-2.02108923501584,LinearRegression,B,60,12
0.011505875887282016,0.012970000237506022,1.2561692530425348,0.7688015231187536,Ridge,B,60,12
0.00866099775960874,0.010226940450614747,0.9497489387481729,0.8562537728094309,RandomForest,B,60,12
0.0076854697958933975,0.008996345466369987,0.8413733721667314,0.8887660782761487,GradientBoosting,B,60,12
0.01752488009402713,0.02022594346693678,1.879464625556346,-0.160437296042518,LinearRegression,C,60,12
0.011790145288068682,0.013316388144603614,1.2623532256719714,0.49698956890539203,Ridge,C,60,12
0.011916266356375252,0.01283986221715728,1.2741184105060914,0.5323458128208118,RandomForest,C,60,12
0.009867002673647698,0.010828138206480676,1.0555701783826927,0.6674080901349961,GradientBoosting,C,60,12
0.006954398040437858,0.008173960164767397,0.7405039610522399,0.8737664154611204,LinearRegression,D,60,12
0.014628997173482474,0.016197367834965545,1.5594835878104547,0.5043229963758862,Ridge,D,60,12
0.005021595530262425,0.0056341968661522066,0.5324920708547597,0.9400244946004517,RandomForest,D,60,12
0.004795058514888299,0.005703575027871868,0.5149544552369482,0.9385383523390471,GradientBoosting,D,60,12
0.0034334802783481575,0.004616796285729848,0.3682623836990008,0.9594401758191998,LinearRegression,E,60,12
0.0023619506966496284,0.0029851835364219435,0.25432195344515,0.9830426995339415,Ridge,E,60,12
0.003052513756120978,0.0034082408470460183,0.3274207352506662,0.9778957800164118,RandomForest,E,60,12
0.0042579219159764314,0.004799767584508516,0.461031865349211,0.9561615634936755,GradientBoosting,E,60,12
0.01197060696714324,0.013508137100263527,1.3137180291689707,0.7138665165157404,LinearRegression,F,60,12
0.009902141432604039,0.010923171742660692,1.0826309017639333,0.8128993542048146,Ridge,F,60,12
0.009918870519254044,0.010894436371880863,1.087105915247022,0.8138824632785897,RandomForest,F,60,12
0.007446752185683507,0.009067677767812544,0.8195126395493361,0.8710652687276788,GradientBoosting,F,60,12
