mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.0015109594522924596,0.002142049951625537,0.16168748717577228,0.9832733539945979,LinearRegression,A,50,10
0.0058360195323551075,0.007188710775043819,0.6340023095454682,0.8116126663831295,Ridge,A,50,10
0.004121715003510084,0.005391190667388152,0.44886086118778606,0.8940455843593829,RandomForest,A,50,10
0.003925613811208995,0.005564396387540802,0.42863546794251384,0.887128109933113,GradientBoosting,A,50,10
0.0021272509390597772,0.0026684449993344987,0.2340015691201178,0.9829492460666206,LinearRegression,B,50,10
0.008945228254362758,0.009270182721628606,0.9769807338459742,0.7942197623898415,Ridge,B,50,10
0.005271698681955062,0.006139827589879975,0.5790677083525619,0.9097308345161366,RandomForest,B,50,10
0.005764469815482498,0.0064585320292438065,0.6323842680782755,0.9001162794866315,GradientBoosting,B,50,10
0.004966583844317573,0.005593133136512995,0.5308916824694118,0.8304624012116653,LinearRegression,C,50,10
0.010263319702940166,0.010359553234059756,1.0972538594130206,0.41838209694981254,Ridge,C,50,10
0.007731849218159703,0.007925235213116921,0.8281609907842966,0.6596074593321264,RandomForest,C,50,10
0.007928983955338153,0.00810434748400369,0.8491823625604128,0.6440476858619882,GradientBoosting,C,50,10
0.008379394994639721,0.008584297211833937,0.9000209390285596,0.7852214879528197,LinearRegression,D,50,10
0.00866781530422862,0.01173044527973818,0.9356147393020051,0.5989390909367751,Ridge,D,50,10
0.003771577054640629,0.004512482920937328,0.4000201140191622,0.9406511264603628,RandomForest,D,50,10
0.0036883002662589813,0.004209122282301331,0.3941765721533677,0.9483625932339945,GradientBoosting,D,50,10
0.002166586999601583,0.0026799327644565834,0.23460165104924557,0.9746290824009028,LinearRegression,E,50,10
0.0038066128764069227,0.004423320167711601,0.41305474656379926,0.9308829602750806,Ridge,E,50,10
0.0032544094390562937,0.003695758646926284,0.3516118981221536,0.9517501928942309,RandomForest,E,50,10
0.003605813681923642,0.004543427872699941,0.3927325557758748,0.9270784898427408,GradientBoosting,E,50,10
0.0033422392165316727,0.0040466697858958945,0.3615025279462539,0.9504294478229567,LinearRegression,F,50,10
0.0029773839409402035,0.004219373423406533,0.3202479712421337,0.9461080188526217,Ridge,F,50,10
0.005404278983767563,0.005924166649892667,0.5928531262907307,0.8937612977486753,RandomForest,F,50,10
0.006209509971680183,0.007225146423572023,0.6846575615746949,0.8419765537795914,GradientBoosting,F,50,10
