mae,rmse,mape,r2,model,test_cell,n_train,n_test
0.0070450771424664105,0.007286239247156447,0.7735341027993503,0.0,LinearRegression,A,20,4
0.007733607477410448,0.008140071472348895,0.849133231683355,0.0,Ridge,A,20,4
0.006856262022464976,0.006940506455759688,0.7528026144860614,0.0,RandomForest,A,20,4
0.006013303916368867,0.00607523687869096,0.6602476531832226,0.0,GradientBoosting,A,20,4
0.008076984945901505,0.00825063361504442,0.9015379361670142,0.0,LinearRegression,B,20,4
0.013566442103203707,0.013683087033423707,1.5142608655049863,0.0,Ridge,B,20,4
0.014304378406348045,0.014638570744980262,1.5966279339365108,0.0,RandomForest,B,20,4
0.01263910050594183,0.013074605343450353,1.410752732790003,0.0,GradientBoosting,B,20,4
0.005201296376700804,0.005523428581753169,0.5665314391176319,0.0,LinearRegression,C,20,4
0.017112286170395785,0.017308659120579675,1.863890731959484,0.0,Ridge,C,20,4
0.01837000977522968,0.01886169583587501,2.000883495350277,0.0,RandomForest,C,20,4
0.01803190068026783,0.019901385107233147,1.9640562472423746,0.0,GradientBoosting,C,20,4
0.03204467818322998,0.037015154091397676,3.521301847452106,0.0,LinearRegression,D,20,4
0.019664898902582884,0.023922208595757558,2.160921836683094,0.0,Ridge,D,20,4
0.0013657812025750782,0.0014957630964137344,0.15008195258955226,0.0,RandomForest,D,20,4
0.0023860382448554485,0.0024317197526946754,0.26219520232529253,0.0,GradientBoosting,D,20,4
0.0026023071630571215,0.0033579274119695294,0.29086364061698555,0.0,LinearRegression,E,20,4
0.004343868332543438,0.005302590342869034,0.4855204548874714,0.0,Ridge,E,20,4
0.008658353530476698,0.009929598818299133,0.9677567142630591,0.0,RandomForest,E,20,4
0.007761187540391928,0.00831508749200849,0.8674791721579841,0.0,GradientBoosting,E,20,4
0.006326239324394856,0.006782993074698731,0.7095046991343967,0.0,LinearRegression,F,20,4
0.008517020911402717,0.009547053167159446,0.9552067269987748,0.0,Ridge,F,20,4
0.010742421579956835,0.010779495528951556,1.2047913776627788,0.0,RandomForest,F,20,4
0.004749005664570871,0.0048040004733314445,0.532613716056531,0.0,GradientBoosting,F,20,4
